company_name,date_certified,industry,industry_category,country,state,city,sector,size,website
Fish Tales Holding BV,2023-11-10,Food products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,10-49,www.fish-tales.com/en-us
FITFILE Group Limited,2024-05-03,Technology-based support services,Human health & social work,United Kingdom,City of Westminster,London,Service,1-9,https://fitfile.com/
LiberEat ltd,2025-02-11,Technology-based support services,Human health & social work,United Kingdom,Aberdeen,Aberdeen,Service,1-9,www.libereat.com
ekomia GmbH,2023-02-16,Furniture,Retail,Germany,Berlin,Berlin,Wholesale/Retail,1-9,ekomia.de
Veramed,2024-08-02,Medical & dental practice,Human health & social work,United Kingdom,London Borough of Richmond upon Thames,Twickenham,Service,250-999,www.veramed.co.uk
OHMG Brands Limited,2024-05-03,Beverages,Retail,United Kingdom,East Sussex,Forest Row,Wholesale/Retail,1-9,www.ohmgwater.com
Loah Drinks Ltd,2023-09-05,Beverages,Retail,United Kingdom,City of London,London,Wholesale/Retail,1-9,www.loah.beer
Millennium Care,2024-07-24,Residential elderly & disabled care,Human health & social work,United Kingdom,Lancashire,Chorley Rd,Service with Significant Environmental Footprint,50-249,www.millennium-care.co.uk
Y.O.U Underwear,2021-11-03,Apparel,Retail,United Kingdom,Oxfordshire,Oxford,Wholesale/Retail,1-9,www.youunderwear.com
Wendy Morrison Design,2024-04-01,Textiles,Retail,United Kingdom,East Lothian,Musselburgh,Wholesale/Retail,1-9,www.wendymorrisondesign.com
Creature & Co.,2023-06-07,Books or other media,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,https://www.creatureandcoagency.com/
Girafon Bleu,2023-06-29,Apparel,Retail,France,Paris,Bagnolet,Wholesale/Retail,0,https://girafonbleu.com/
Talkington Bates,2024-06-07,Event catering & related,Accommodation & food service,United Kingdom,Oxfordshire,Kirtlington,Service with Significant Environmental Footprint,50-249,https://www.talkingtonbates.co.uk/
Albert Heijn Nederland,2024-11-20,Food products,Retail,Netherlands The,North Holland,Zaandam,Wholesale/Retail,1000+,www.ah.nl
Full Circle Funerals,2021-11-08,Other human health,Human health & social work,United Kingdom,Leeds,Guiseley,Service,10-49,https://fullcirclefunerals.co.uk/funeral-directors-guiseley/
Sinatur Hotel & Konference,2024-12-31,Accommodation,Accommodation & food service,Denmark,Region of Southern Denmark,Nyborg,Service with Significant Environmental Footprint,50-249,www.sinatur.dk
Wolf & Griffin,2024-06-24,Personal care products,Retail,United Kingdom,East Sussex,Hove,Wholesale/Retail,0,www.wolfandgriffin.com
Wild Nutrition Ltd,2024-08-06,Personal care products,Retail,United Kingdom,East Sussex,Lewes,Wholesale/Retail,50-249,www.wildnutrition.com
Blooming Haus,2023-09-22,Other retail sale,Retail,United Kingdom,London Borough of Wandsworth,London,Wholesale/Retail,10-49,www.bloominghaus.com
