company_name,date_certified,industry,industry_category,country,state,city,sector,size,website
Arch Textiles Manufacture Corp.,2024-05-13,Textiles,Manufactured Goods,China,Shanghai,Shanghai,Manufacturing,10-49,archtextiles.com
Ocean Design,2023-11-07,Advertising & market research,Professional & technical services,New Zealand,Wellington Region,Wellington,Service,10-49,https://www.oceandesign.co.nz/
Reflect Studio,2023-11-07,Apparel,Wholesale,Turkey,Istanbul Province,Beyoglu,Wholesale/Retail,10-49,www.reflectsourcing.com
sString Limited,2023-11-07,Management consultant - for-profits,Professional & technical services,United Kingdom,Surrey,Reigate,Service,10-49,www.sString.com
Collectiv Food,2023-11-07,Food products,Wholesale,United Kingdom,London Borough of Hammersmith and Fulham,London,Wholesale/Retail,10-49,collectivfood.com
Elemental,2023-11-07,Management consultant - for-profits,Professional & technical services,Netherlands The,North Holland,Amsterdam,Service,10-49,https://elementalstrategy.com/
"Atelier Jolie Lifestyle, Inc.",2023-11-08,Apparel,Manufactured Goods,United States,New York,New York,Manufacturing,1-9,atelierjolie.com
Connect Bio,2023-08-17,"Other professional, scientific & tech",Professional & technical services,Brazil,Rio Grande do Sul,Porto Alegre,Service with Significant Environmental Footprint,1-9,www.instagram.com/connectbio
Warren Partners,2024-07-01,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Manchester,Manchester,Service,10-49,https://www.warrenpartners.co.uk/
Asuene Inc.,2024-04-21,Software publishing and SaaS platforms,"Information, communication & technology",Japan,Tokyo,Tokyo,Service,50-249,https://corp.asuene.com/en
Fish Tales Holding BV,2023-11-10,Food products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,10-49,www.fish-tales.com/en-us
Ekistica,2023-11-20,Engineering,Professional & technical services,Australia,Northern Territory,Kilgariff,Service,10-49,www.ekistica.com.au
Lake Hawea Station,2023-11-10,Mixed Farming,"Agriculture, forestry & fishing",New Zealand,Otago Region,Hawea,Manufacturing,1-9,https://lakehaweastation.com
Accès Personnel SA,2023-11-10,Employment placement & HR,Administrative & support services,Switzerland,Canton of Geneva,Les Acacias,Service,50-249,www.acces-personnel.ch
